,	0.00220	10100000
J	0.00220	10100001
!	0.00879	1010001
B	0.00879	1100110
.	0.01099	1100111
V	0.01099	1111110
W	0.01319	1111111
F	0.01538	101001
G	0.01538	110010
K	0.02418	111110
C	0.02637	01010
I	0.02857	01011
D	0.03077	10101
P	0.03077	10110
H	0.03297	10111
M	0.03297	11000
Y	0.03736	11010
U	0.04176	11011
L	0.04835	11110
R	0.05055	0000
N	0.05495	0001
S	0.05495	0100
A	0.08132	1110
O	0.10769	001
T	0.11209	011
E	0.11648	100
